Mese,gtrends_inflation,gtrends_deflation,gtrends_index(1-0),aspettative_istat,inflation,std_gtrends_inflation,std_gtrend_index(1-0),MA(4)_inflation,ma(4)_std_gtrends_index(1-0),delta_gtrends_index,std_delta_gtrends_index,ma(4)_std_delta_gtrends_index,ma(4)_aspettative,infl,ma(4)_std_delta_gtrends_index
nov-13,29,16,29,0.146415706,-0.27958993476240,0.311807279,0.311807279,-0.09287252581038,-0.506782358,9,0.797511068,0.349526456,1.171402708,0.023342428,0.349526456
dic-13,19,5,19,0.188388309,0.18691588785057,-0.486816757,-0.486816757,-0.13925342349396,-0.367023152,-10,-0.823766577,0.178865651,0.998084278,0.069875709,0.178865651
gen-14,31,14,31,0.778850302,0.18656716417899,0.471532087,0.471532087,-0.02303834859018,-0.027607936,12,1.053502275,0.392191657,1.103533371,0.023342347,0.392191657
feb-14,25,9,25,-0.431032627,-0.09310986964612,-0.007642335,-0.007642335,0.00019581190526,0.072220068,-6,-0.482444967,0.13620045,0.170655423,0.02329904,0.13620045
mar-14,26,5,26,0.070081239,0.09319664492072,0.072220068,0.072220068,0.09339245682604,0.012323266,1,0.114867849,-0.034460355,0.151571806,-0.04631727,-0.034460355
apr-14,22,14,22,-1.513637188,0.18621973929247,-0.247229546,-0.247229546,0.09321841968651,0.072220068,-4,-0.311784162,0.093535249,-0.273934568,-0.046273922,0.093535249
mag-14,21,4,21,-1.625067181,-0.09293680297403,-0.32709195,-0.32709195,0.02334242789826,-0.127435941,-1,-0.055792955,-0.183788559,-0.874913939,-0.069594656,-0.183788559
giu-14,22,5,22,-1.068691693,0.09302325581400,-0.247229546,-0.247229546,0.06987570926329,-0.187332743,1,0.114867849,-0.034460355,-1.034328706,-0.116106284,-0.034460355
lug-14,16,5,16,-0.835469417,-0.09293680297403,-0.726403968,-0.726403968,0.02334234728960,-0.386988753,-6,-0.482444967,-0.183788559,-1.26071637,-0.116539356,-0.183788559
ago-14,25,77,25,-0.589226564,0.18604651162801,-0.007642335,-0.007642335,0.02329904037349,-0.32709195,9,0.797511068,0.093535249,-1.029613714,-0.046205558,0.093535249
set-14,17,24,17,-1.470381892,-0.37140204271132,-0.646541564,-0.646541564,-0.04631726956083,-0.406954354,-8,-0.653105772,-0.055792955,-0.990942391,0.023670272,-0.055792955
ott-14,17,10,17,-0.749170037,0.09319664492072,-0.646541564,-0.646541564,-0.04627392228416,-0.506782358,0,0.029537447,-0.077125556,-0.911061977,0.070268595,-0.077125556
nov-14,12,6,12,-0.402708461,-0.18621973929225,-1.045853583,-1.045853583,-0.06959465636371,-0.586644762,-5,-0.397114565,-0.055792955,-0.802871738,0.186807991,-0.055792955
dic-14,21,5,21,-0.479339593,0.00000000000000,-0.32709195,-0.32709195,-0.11610628427071,-0.666507165,9,0.797511068,-0.055792955,-0.775399996,0.139643433,-0.055792955
gen-15,25,19,25,-1.468539982,-0.37313432835820,-0.007642335,-0.007642335,-0.11653935568243,-0.506782358,4,0.370859056,0.200198252,-0.774939518,0.093131443,0.200198252
feb-15,19,9,19,-1.754236201,0.37453183520598,-0.486816757,-0.486816757,-0.04620555811112,-0.466851156,-6,-0.482444967,0.072202648,-1.026206059,0.092958376,0.072202648
mar-15,23,6,23,-1.295556994,0.09328358208950,-0.167367143,-0.167367143,0.02367027223432,-0.247229546,4,0.370859056,0.264196053,-1.249418192,-0.022975844,0.264196053
apr-15,12,2,12,-0.356941319,0.18639328984155,-1.045853583,-1.045853583,0.07026859469471,-0.426919954,-11,-0.909096979,-0.162455958,-1.218818624,-0.022932617,-0.162455958
mag-15,25,2,25,-0.501088566,0.09302325581400,-0.007642335,-0.007642335,0.18680799073776,-0.426919954,13,1.138832678,0.029537447,-0.97695577,-0.092592033,0.029537447
giu-15,18,2,18,-0.935746518,0.18587360594804,-0.566679161,-0.566679161,0.13964343342328,-0.446885555,-7,-0.567775369,0.008204846,-0.772333349,-0.139017289,0.008204846
lug-15,16,2,16,-1.080475366,-0.09276437847870,-0.726403968,-0.726403968,0.09313144328122,-0.586644762,-2,-0.141123358,-0.119790757,-0.718562942,-0.099926954,-0.119790757
ago-15,10,3,10,-0.169982633,0.18570102135570,-1.20557839,-1.20557839,0.09295837615976,-0.626575964,-6,-0.482444967,-0.013127754,-0.671823271,-0.196639385,-0.013127754
set-15,16,4,16,-0.631650316,-0.37071362372586,-0.726403968,-0.726403968,-0.02297584372520,-0.806266372,6,0.541519861,-0.162455958,-0.704463709,-0.053487063,-0.162455958
ott-15,15,2,15,-1.055574265,0.18604651162801,-0.806266372,-0.806266372,-0.02293261730521,-0.866163175,-1,-0.055792955,-0.034460355,-0.734420645,-0.078587465,-0.034460355
nov-15,15,3,15,-1.154329555,-0.37140204271132,-0.806266372,-0.806266372,-0.09259203336337,-0.886128775,0,0.029537447,0.008204846,-0.752884192,0.05037749,0.008204846
dic-15,22,4,22,-0.115148371,0.00000000000000,-0.247229546,-0.247229546,-0.13901728870229,-0.646541564,7,0.626850263,0.285528654,-0.739175627,0.125628394,0.285528654
gen-16,24,4,24,-0.352477381,-0.21435228331782,-0.087504739,-0.087504739,-0.09992695360028,-0.486816757,2,0.200198252,0.200198252,-0.669382393,0.125376633,0.200198252
feb-16,21,4,21,-0.906152864,-0.20080321285139,-0.32709195,-0.32709195,-0.19663938472013,-0.367023152,-3,-0.22645376,0.15753305,-0.632027043,0.200427085,0.15753305
mar-16,22,9,22,-1.550063801,0.20120724346075,-0.247229546,-0.247229546,-0.05348706317712,-0.227263945,1,0.114867849,0.178865651,-0.730960604,0.075199752,0.178865651
apr-16,24,8,24,-2.158699476,-0.10040160642570,-0.087504739,-0.087504739,-0.07858746478354,-0.187332743,2,0.200198252,0.072202648,-1.24184838,0.025174626,0.072202648
mag-16,21,8,21,-0.752993751,0.30150753768844,-0.32709195,-0.32709195,0.05037749046803,-0.247229546,-3,-0.22645376,-0.034460355,-1.341977473,-0.049875424,-0.034460355
giu-16,14,4,14,-0.88912687,0.10020040080161,-0.886128775,-0.886128775,0.12562839388128,-0.386988753,-7,-0.567775369,-0.119790757,-1.337720975,0.000274626,-0.119790757
